assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,total_obligated_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_funded_by_COVID-19_supplementals_for_overall_aw,obligated_amount_funded_by_COVID-19_supplementals_for_overall_a,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_duns,recipient_name,recipient_parent_duns,recipient_parent_name,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,last_modified_date
8900_DEIE0000080_-NONE-_81.087_0003,ASST_NON_DEIE0000080_8900,DEIE0000080,0003,,SAI NOT AVAILABLE,-91.89,179908.11,0.00,20768.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-08,2020,2017-09-01,2019-11-30,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892434,GOLDEN FIELD OFFICE,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892405,INDIAN ENERGY POLICY AND PROGRAMS,089-2016/2017-0228-000,089-0228,"41.0: Grants, subsidies, and contributions",0012: INDIAN ENERGY POLICY,622970366,YUROK TRIBE,622970366,YUROK TRIBE,USA,UNITED STATES,POST OFFICE BOX 1027,,38702,KLAMATH,015,DEL NORTE,CA,CALIFORNIA,95548,1027,02,,,,CITY-WIDE,USA,UNITED STATES,CA38702,KLAMATH,015,DEL NORTE,CALIFORNIA,CITY-WIDE,02,,81.087,RENEWABLE ENERGY RESEARCH AND DEVELOPMENT,04,PROJECT GRANT (B),ENERGY PATHS FOR THE YUROK PEOPLE,NON,NOT RECOVERY ACT,I,INDIAN/NATIVE AMERICAN TRIBAL GOVERNMENT (FEDERALLY-RECOGNIZED),,,D,ADJUSTMENT TO COMPLETED PROJECT,2,NON-AGGREGATE RECORD,AMY  CORDALIS,141351.00,DAWN  BAUM,105803.00,JAVIER  KINNEY,133681.00,STEVEN  EDMISTON,110665.00,DONALD  BARNES,79396.00,https://www.usaspending.gov/award/ASST_NON_DEIE0000080_8900/,2020-07-09 21:00:03.268287+00
8900_DEEE0008175_-NONE-_81.087_0001,ASST_NON_DEEE0008175_8900,DEEE0008175,0001,,,0.00,1199985.00,0.00,365928.00,0.00,0.00,0.00,0.00,,,,2020-07-08,2020,2017-10-01,2019-09-30,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892434,GOLDEN FIELD OFFICE,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892403,ENERGY EFFICIENCYRENEWABLE ENERGY,089-X-0321-000,089-0321,"41.0: Grants, subsidies, and contributions",0101: SOLAR ENERGY,183869593,SUNPOWER CORPORATION,275137164,TOTAL SA,USA,UNITED STATES,77 RIO ROBLES DR,,68000,SAN JOSE,085,SANTA CLARA,CA,CALIFORNIA,95134,1506,17,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA68000,SAN JOSE,085,SANTA CLARA,CALIFORNIA,95134-1506,17,,81.087,RENEWABLE ENERGY RESEARCH AND DEVELOPMENT,05,COOPERATIVE AGREEMENT (B),PHOTOVOLTAICS RESEARCH AND DEVELOPMENT (PVRD) 2: MODULES AND SYSTEMS,NON,NOT RECOVERY ACT,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEEE0008175_8900/,2020-07-09 20:59:56.872963+00
8900_DEFG0208ER46524_-NONE-_81.049_0012,ASST_NON_DEFG0208ER46524_8900,DEFG0208ER46524,0012,,SAI EXEMPT,0.00,1510914.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-08,2020,2008-09-01,2021-02-28,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0001: BASIC ENERGY SCIENCES,094878394,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,OFFICE OF RESEARCH,3227 CHEADLE HALL,69070,SANTA BARBARA,083,SANTA BARBARA,CA,CALIFORNIA,93106,2050,24,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA69070,SANTA BARBARA,083,SANTA BARBARA,CALIFORNIA,93106-9530,24,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),THEORY OF FLUCTUATING AND CRITICAL QUANTUM MATTER,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEFG0208ER46524_8900/,2020-07-09 21:00:02.626327+00
8900_DESC0020062_-NONE-_81.049_0001,ASST_NON_DESC0020062_8900,DESC0020062,0001,,SAI EXEMPT,0.00,300000.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-08,2020,2019-07-01,2021-06-30,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0004: HIGH ENERGY PHYSICS,124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,SPONSORED PROJECTS OFFICE,1608 4TH ST STE 220,06000,BERKELEY,001,ALAMEDA,CA,CALIFORNIA,94710,1749,13,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA06000,BERKELEY,001,ALAMEDA,CALIFORNIA,94720-1460,13,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),THEORY AND MODELING OF OPTICAL STOCHASTIC COOLING FOR THE IOTA EXPERIMENT,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,B,CONTINUATION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0020062_8900/,2020-07-09 21:00:12.699799+00
8900_DESC0019010_-NONE-_81.049_0002,ASST_NON_DESC0019010_8900,DESC0019010,0002,,SAI EXEMPT,0.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-06,2020,2018-08-15,2021-08-14,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0006: FUSION ENERGY SCIENCES,092530369,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,"10889 WILSHIRE BOULEVARD, SUITE 700",BOX 951406,44000,LOS ANGELES,037,LOS ANGELES,CA,CALIFORNIA,90095,1406,33,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA44000,LOS ANGELES,037,LOS ANGELES,CALIFORNIA,90095-1547,33,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),CONTINUATION OF THE APPLICATION OF PARALLEL KINETIC SIMULATIONS TO LASER AND ELECTRON TRANSPORT THROUGH PLASMAS UNDER CONDITIONS RELEVANT TO ICF AND HEDS,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,B,CONTINUATION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0019010_8900/,2020-07-09 21:00:10.413391+00
8900_DELM0000471_-NONE-_81.136_0002,ASST_NON_DELM0000471_8900,DELM0000471,0002,,SAI NO AVAIL,0.00,420822.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-07,2020,2020-01-28,2022-01-27,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,893030,HEADQUARTERS PROCUREMENT SERVICES,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,893008,LEGACY MANAGEMENT,089-X-0243-000,089-0243,"41.0: Grants, subsidies, and contributions",,047120084,"UNIVERSITY OF CALIFORNIA, DAVIS",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,ONE SHIELDS AVENUE,"DAVIS, CA",18100,DAVIS,113,YOLO,CA,CALIFORNIA,95618,6134,03,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA90640,DAVIS,113,YOLO,CALIFORNIA,95618,03,,81.136,LONG-TERM SURVEILLANCE AND MAINTENANCE,04,PROJECT GRANT (B),GRANT FOR ''LONG TERM SURVEILLANCE AND MAINTENANCE OF THE DOE AREAS ON THE LEHR SITE'',NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DELM0000471_8900/,2020-07-17 18:01:29.210043+00
8900_DESC0018281_-NONE-_81.049_0003,ASST_NON_DESC0018281_8900,DESC0018281,0003,,SAI EXEMPT,0.00,445006.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-06,2020,2017-09-01,2021-08-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0006: FUSION ENERGY SCIENCES,804355790,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,9500 GILMAN DRIVE,,39346,LA JOLLA,073,SAN DIEGO,CA,CALIFORNIA,92093,0934,49,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA39360,LA JOLLA,073,SAN DIEGO,CALIFORNIA,92093-0934,52,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),IN-SITU LASER-INDUCED-DESORPTION-SPECTROSCOPY DIAGNOSTIC DEPLOYMENT ON THE LINEAR PLASMA DEVICE CSDX,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,B,CONTINUATION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0018281_8900/,2020-07-28 20:33:11.395627+00
8900_DEFE0026041_-NONE-_81.089_0004,ASST_NON_DEFE0026041_8900,DEFE0026041,0004,,SAI EXEMPT,0.00,1032799.00,0.00,258200.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-06,2020,2015-09-15,2018-03-14,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892433,NATIONAL ENERGY TECHNOLOGY LABORATORY,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892404,FOSSIL ENERGY,089-X-0213-000,089-0213,25.5: Research and development contracts,0003: CARBON STORAGE,848908356,"GEOMECHANICS TECHNOLOGIES, INC.",848908356,"GEOMECHANICS TECHNOLOGIES, INC.",USA,UNITED STATES,103 EAST LEMON AVE#210,,48648,MONROVIA,037,LOS ANGELES,CA,CALIFORNIA,91016,5116,32,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA48648,MONROVIA,037,LOS ANGELES,CALIFORNIA,91016-5116,32,,81.089,FOSSIL ENERGY RESEARCH AND DEVELOPMENT,05,COOPERATIVE AGREEMENT (B),"DE-FE0026041
GEOMECHANICS TECHNOLOGIES
PROJECT TITLED ASSESSMENT OF CARBON DIOXIDE (CO2) STORAGE RESOURCES IN DEPLETED OIL AND GAS FIELDS IN THE SHIP SHOAL AREA, GULF OF MEXICO
AMENDMENT 0004 TO CHANGE THE DEPARTMENT OF ENERGY AWARD ADMINISTRATOR AND MAKE ADMINISTRATIVE ADJUSTMENTS TO THE AWARD.",NON,NOT RECOVERY ACT,R,SMALL BUSINESS,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEFE0026041_8900/,2020-07-09 20:59:59.493522+00
8900_DENE0000127_-NONE-_81.121_0015,ASST_NON_DENE0000127_8900,DENE0000127,0015,,,483000.00,3471072.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-06,2020,2009-07-01,2023-08-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892432,IDAHO OPERATIONS OFFICE,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892400,NUCLEAR ENERGY,089-X-0319-000,089-0319,"41.0: Grants, subsidies, and contributions",0042: INTEGRATED UNIVERSITY PROGRAM,124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,SPONSORED PROJECTS OFFICE,1608 4TH ST STE 220,06000,BERKELEY,001,ALAMEDA,CA,CALIFORNIA,94710,1749,01,,,,CITY-WIDE,USA,UNITED STATES,CA06000,BERKELEY,001,ALAMEDA,CALIFORNIA,CITY-WIDE,01,,81.121,"NUCLEAR ENERGY RESEARCH, DEVELOPMENT AND DEMONSTRATION",05,COOPERATIVE AGREEMENT (B),"INCREMENTAL FUNDING, REVISE THE REPORTING REQUIREMENT CHECKLIST, EXTEND THE PERIOD OF PERFORMANCE AND UPDATE THE DOE POINT OF CONTACTS",NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DENE0000127_8900/,2020-07-09 21:00:04.255323+00
8900_DESC0016118_-NONE-_81.049_0004,ASST_NON_DESC0016118_8900,DESC0016118,0004,,SAI EXEMPT,0.00,590447.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-06,2020,2016-08-01,2021-07-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0003: BIOLOGICAL AND ENVIRONMENTAL RESEARCH,092530369,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,"10889 WILSHIRE BOULEVARD, SUITE 700",BOX 951406,44000,LOS ANGELES,037,LOS ANGELES,CA,CALIFORNIA,90095,1406,33,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA44000,LOS ANGELES,037,LOS ANGELES,CALIFORNIA,90095-1406,33,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),USING BAYESIAN CLOUD PROPERTY RETRIEVALS TO STUDY SHALLOW CONVECTIVE CLOUDS,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0016118_8900/,2020-07-09 21:00:07.578038+00
8900_DESC0020894_-NONE-_81.049_-NONE-,ASST_NON_DESC0020894_8900,DESC0020894,,,SAI EXEMPT,197434.00,197434.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-06,2020,2020-06-29,2020-12-28,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0011: SMALL BUSINESS INNOVATION RESEARCH,117033750,"AV-CONNECT, INC.",,,USA,UNITED STATES,1054 FONTANA DR,,00570,ALAMEDA,001,ALAMEDA,CA,CALIFORNIA,94502,6820,13,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA06000,ALAMEDA,001,ALAMEDA,CALIFORNIA,94502-6820,13,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),CONTEXTUAL PREDICTIONS & ECO SERVICES FOR EVS & PHEVS,NON,NOT RECOVERY ACT,R,SMALL BUSINESS,,,A,NEW,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0020894_8900/,2020-07-09 21:00:16.732857+00
8900_DESC0020249_-NONE-_81.049_0001,ASST_NON_DESC0020249_8900,DESC0020249,0001,,SAI EXEMPT,0.00,1199714.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-07,2020,2019-08-15,2021-08-14,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0006: FUSION ENERGY SCIENCES,067638957,GENERAL ATOMICS,859181984,GENERAL ATOMIC TECHNOLOGIES CORPORATION,USA,UNITED STATES,3550 GENERAL ATOMICS CT.,,66000,SAN DIEGO,073,SAN DIEGO,CA,CALIFORNIA,92121,1122,49,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA66000,SAN DIEGO,073,SAN DIEGO,CALIFORNIA,92121-1122,49,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),QUANTUM COMPUTING FOR FUSION ENERGY MATERIALS,NON,NOT RECOVERY ACT,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,R. S FORNEY,1529963.00,J.  QUINTENZ,732641.00,J. N BLUE,614185.00,R F KHAN,547279.00,M  PERRY,817083.00,https://www.usaspending.gov/award/ASST_NON_DESC0020249_8900/,2020-07-28 20:33:20.834118+00
8900_DESC0019244_-NONE-_81.049_0002,ASST_NON_DESC0019244_8900,DESC0019244,0002,,SAI EXEMPT,0.00,750000.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-06,2020,2018-09-01,2021-08-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0001: BASIC ENERGY SCIENCES,094878394,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,OFFICE OF RESEARCH,3227 CHEADLE HALL,69070,SANTA BARBARA,083,SANTA BARBARA,CA,CALIFORNIA,93106,2050,24,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA69070,SANTA BARBARA,083,SANTA BARBARA,CALIFORNIA,93106-6105,24,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),PROBING COHERENCE IN NANOSCALE ENERGY TRANSPORT WITH HIGH SPATIAL-TEMPORAL RESOLUTION,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,B,CONTINUATION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0019244_8900/,2020-07-09 21:00:11.44127+00
8900_DESC0020890_-NONE-_81.049_-NONE-,ASST_NON_DESC0020890_8900,DESC0020890,,,SAI EXEMPT,193855.00,193855.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-07,2020,2020-06-29,2021-04-28,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0011: SMALL BUSINESS INNOVATION RESEARCH,114896587,CARMEL SOFTWARE CORP,114896587,CARMEL SOFTWARE CORP,USA,UNITED STATES,1050 NORTHGATE DR.,SUITE 360,68364,SAN RAFAEL,041,MARIN,CA,CALIFORNIA,94903,3433,02,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA68364,SAN RAFAEL,041,MARIN,CALIFORNIA,94903-2580,02,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),"INNOVATIVE BUILDING ENERGY RATING DELIVERY MODELS - BUILDINGSYNC, GBXML, AND BUILDING EQ",NON,NOT RECOVERY ACT,R,SMALL BUSINESS,,,A,NEW,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0020890_8900/,2020-07-09 21:00:16.670348+00
8900_DEEE0007792_-NONE-_81.086_0005,ASST_NON_DEEE0007792_8900,DEEE0007792,0005,,SAI EXEMPT,0.00,1547678.00,0.00,1238600.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-07,2020,2016-10-01,2021-03-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892433,NATIONAL ENERGY TECHNOLOGY LABORATORY,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892403,ENERGY EFFICIENCYRENEWABLE ENERGY,089-X-0321-000,089-0321,25.5: Research and development contracts,0001: VEHICLE TECHNOLOGIES,062511126,"ELECTRIC POWER RESEARCH INSTITUTE, INC.",062511126,"ELECTRIC POWER RESEARCH INSTITUTE, INC.",USA,UNITED STATES,3420 HILLVIEW AVENUE,,55282,PALO ALTO,085,SANTA CLARA,CA,CALIFORNIA,94304,1338,18,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA55282,PALO ALTO,085,SANTA CLARA,CALIFORNIA,94304-1338,18,,81.086,CONSERVATION RESEARCH AND DEVELOPMENT,05,COOPERATIVE AGREEMENT (B),"COVID-19, DE-EE0007792 WITH ELECTRIC POWER RESEARCH INSTITUTE, INC., AMENDMENT 0005 TO THE PROJECT TITLED ''COMPREHENSIVE ASSESSMENT OF ON-AND OFF-BOARD VEHICLE-TO-GRID TECHNOLOGY PERFORMANCE AND IMPACTS ON BATTERY AND THE GRID''.  THE PURPOSES OF THIS AMENDMENT ARE AS FOLLOWS:  1) TO EXTEND THE PERIOD OF PERFORMANCE OF BUDGET PERIOD 3, AS WELL AS THE AWARD, BY NINE (9) MONTHS AT NO ADDITIONAL COST TO THE GOVERNMENT; AND 2) TO REVISE THE FOREIGN NATIONAL ACCESS UNDER DOE ORDER 142.3A, “UNCLASSIFIED FOREIGN VISITS AND ASSIGNMENTS PROGRAM” TERM OF THE SPECIAL TERMS AND CONDITIONS OF THIS AWARD.",NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEEE0007792_8900/,2020-07-09 20:59:56.566245+00
8900_DEFG0294ER54275_-NONE-_81.049_0034,ASST_NON_DEFG0294ER54275_8900,DEFG0294ER54275,0034,,SAI EXEMPT,499999.00,6426703.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-07-07,2020,1994-06-01,2021-08-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0006: FUSION ENERGY SCIENCES,094878394,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,OFFICE OF RESEARCH,3227 CHEADLE HALL,69070,SANTA BARBARA,083,SANTA BARBARA,CA,CALIFORNIA,93106,2050,24,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA69070,SANTA BARBARA,083,SANTA BARBARA,CALIFORNIA,93106-5050,24,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),DEVELOPMENT AND QUALIFICATION OF ADVANCED ALLOYS USED IN HIGH HELIUM AND DISPLACEMENT DAMAGE SERVICE FOR FUSION ENERGY APPLICATIONS,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,B,CONTINUATION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEFG0294ER54275_8900/,2020-07-09 21:00:02.987044+00
